Dataset,SVM,adaboost,bagging,decision_tree,extratree,gaussian_nb,knn,qda,randomforest,stack,voting,xgboost
synthetic-control,0.993333333333333,0.876666666666667,0.981666666666667,0.883333333333333,0.985,0.941666666666667,0.978333333333333,0.985,0.981666666666667,0.995,0.991666666666667,0.96
wine,0.971590909090909,0.954545454545455,0.965909090909091,0.880681818181818,0.994318181818182,0.965909090909091,0.954545454545454,0.988636363636364,0.982954545454546,0.971590909090909,0.960227272727273,0.971590909090909
zoo,0.94047619047619,0.880952380952381,0.964285714285714,0.928571428571429,0.952380952380952,0.952380952380952,0.94047619047619,0.75,0.964285714285714,0.916666666666667,0.94047619047619,0.928571428571429
pittsburg-bridges-REL-L,0.630952380952381,0.642857142857143,0.714285714285714,0.726190476190476,0.642857142857143,0.619047619047619,0.654761904761905,0.535714285714286,0.69047619047619,0.595238095238095,0.607142857142857,0.69047619047619
plant-texture,0.83515625,0.42890625,0.81328125,0.4546875,0.83125,0.77578125,0.80078125,0.3765625,0.8046875,0.81640625,0.7953125,0.67578125
pittsburg-bridges-MATERIAL,0.829545454545455,0.829545454545455,0.886363636363636,0.840909090909091,0.875,0.840909090909091,0.875,0.863636363636364,0.875,0.795454545454546,0.897727272727273,0.863636363636364
plant-shape,0.6796875,0.2265625,0.59375,0.41171875,0.6203125,0.5125,0.6125,0.565625,0.596875,0.565625,0.55546875,0.49140625
yeast,0.619528619528619,0.44949494949495,0.607744107744108,0.569023569023569,0.616161616161616,0.467171717171717,0.601851851851852,0.581649831649832,0.628787878787879,0.615319865319865,0.617003367003367,0.617003367003367
breast-tissue,0.715909090909091,0.647727272727273,0.625,0.613636363636364,0.681818181818182,0.625,0.681818181818182,0.704545454545454,0.704545454545455,0.727272727272727,0.681818181818182,0.613636363636364
wine-quality-white,0.584438775510204,0.471938775510204,0.670663265306122,0.548724489795918,0.673469387755102,0.433163265306122,0.656377551020408,0.488520408163265,0.659948979591837,0.568112244897959,0.579081632653061,0.650255102040816
glass,0.691860465116279,0.604651162790698,0.761627906976744,0.784883720930233,0.738372093023256,0.47093023255814,0.744186046511628,0.534883720930233,0.77906976744186,0.686046511627907,0.715116279069767,0.720930232558139
pittsburg-bridges-TYPE,0.583333333333333,0.535714285714286,0.607142857142857,0.583333333333333,0.619047619047619,0.619047619047619,0.583333333333333,0.583333333333333,0.607142857142857,0.571428571428571,0.595238095238095,0.55952380952381
plant-margin,0.81015625,0.38203125,0.83203125,0.425,0.84609375,0.8171875,0.78671875,0.3859375,0.78828125,0.803125,0.79375,0.625
pittsburg-bridges-T-OR-D,0.845238095238095,0.845238095238095,0.845238095238095,0.809523809523809,0.845238095238095,0.845238095238095,0.857142857142857,0.869047619047619,0.833333333333333,0.857142857142857,0.869047619047619,0.845238095238095
